통스통스, 114W, 161L, Bronze 4odk410, 74W, 79L, Silver 4
odk410, 74W, 79L, Silver 4\n커피물조절장인, 817W, 760L, Challenger
커피물조절장인, 817W, 760L, Challenger\n커피물조절장인, 817W, 760L, Challenger\n가나다, 96W, 94L, Silver 1\n무라딘, 102W, 104L, Gold 4
통스통스, 114W, 161L, Bronze 4
가자, 58W, 49L, Gold 2
헤이, 73W, 78L, Gold 5
통스통스, 114W, 161L, Bronze 4
통스통스, 114W, 161L, Bronze 4
통스통스, 114W, 161L, Bronze 4
통스통스, 114W, 161L, Bronze 4
통스통스, 114W, 161L, Bronze 4
통스통스, 114W, 161L, Bronze 4
통스통스, 114W, 161L, Bronze 4
통스통스, 114W, 161L, Bronze 4
통스통스, 114W, 161L, Bronze 4
